category,seller_id,seller_city,seller_state,total_orders,unique_buyers,total_gmv,avg_order_value,avg_review_score
garden_tools,81a1104df0f08b59c68aa5b03cfe398e,sao jose dos pinhais,PR,72,72,11115.43,154.38,4.33
furniture_decor,bd23da7354813347129d751591d1a6e2,sao paulo,SP,86,86,11089.16,127.46,4.14
watches_gifts,056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,59,59,11072.0,184.53,4.13
home_appliances_2,f62d7bb4a613ec758a03342d46b580b2,vicosa,MG,13,13,11068.04,851.39,4.38
fashion_shoes,7142540dd4c91e2237acb7e911c4eba2,penapolis,SP,91,90,11013.06,109.04,4.15
garden_tools,955fee9216a65b617aa5c0531780ce60,sao paulo,SP,61,61,10938.36,176.43,4.4
health_beauty,0df3984f9dfb3d49ac6366acbd3bbb85,betim,MG,80,78,10923.17,133.21,4.38
stationery,de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,65,64,10914.45,160.51,4.21
cool_stuff,48436dade18ac8b2bce089ec2a041202,volta redonda,SP,111,111,10874.94,87.7,4.11
baby,c510bc1718f0f2961eaa42a23330681a,indaiatuba,SP,12,12,10851.45,904.29,4.25
construction_tools_construction,72c5da29406b4234927b81855e7b64f6,guarulhos,SP,24,24,10846.49,451.94,4.29
health_beauty,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,242,241,10748.59,39.81,4.39
cool_stuff,4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,53,53,10692.12,198.0,4.24
telephony,92eb0f42c21942b6552362b9b114707d,sao paulo,SP,316,314,10690.35,32.2,4.0
luggage_accessories,7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,36,36,10687.0,296.86,3.92
toys,b2ba3715d723d245138f291a6fe42594,sao paulo,SP,56,56,10647.93,186.81,3.95
construction_tools_lights,d6b1ce66b035a475f00c017792ff9769,salto,SP,67,67,10606.52,139.56,4.04
bed_bath_table,1c5e4e49b9079480255b49d50aac1aa9,santos,SP,10,9,10540.98,1054.1,4.3
furniture_decor,624f4ece8da4aafb77699233d480f8ef,sao paulo,SP,51,50,10510.36,198.31,4.21
sports_leisure,7008613ea464bad5cb9b83456e1e6a8f,canoinhas,SC,123,123,10488.04,69.0,4.3
pet_shop,dd7ddc04e1b6c2c614352b383efe2d36,sao paulo,SP,103,103,10412.19,86.05,3.8
auto,e96498ed8daaa3e9c23f7a62da76591c,sao paulo,SP,34,34,10332.19,303.89,3.94
fashion_shoes,048c2757535328e0d7dac690ad3c0aae,franca,SP,50,50,10312.41,206.25,4.26
cool_stuff,8b8cfc8305aa441e4239358c9f6f2485,londrina,PR,13,13,10283.34,791.03,4.08
bed_bath_table,dd2bdf855a9172734fbc3744021ae9b9,belo horizonte,MG,80,79,10266.71,122.22,3.75
bed_bath_table,259f7b5e6e482c230e5bfaa670b6bb8f,poa,SP,128,128,10233.69,66.89,4.25
cool_stuff,b94cc9f10ddc85e4ba73a6f7974e7101,macae,RJ,16,16,10159.27,634.95,3.94
watches_gifts,b1fc4f64df5a0e8b6913ab38803c57a9,sao goncalo,RJ,107,107,10140.99,83.81,3.8
watches_gifts,c60b801f2d52c7f7f91de00870882a75,guarulhos,SP,30,30,10136.5,337.88,3.37
small_appliances,f9244d45189d3a3605499abddeade7d5,sao paulo,SP,15,15,10131.06,675.4,4.4
unknown,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,37,37,10128.9,266.55,4.29
luggage_accessories,d1b65fc7debc3361ea86b5f14c68d2e2,mogi guacu,SP,27,27,10114.57,361.23,4.64
baby,c6bda72e4dbf5c5866b13cb1810c6d03,sao paulo,SP,48,48,10108.44,210.59,4.32
fashion_bags_accessories,3c487ae8f8d7542beff5788e2e0aea83,gama,DF,30,27,10105.35,306.22,3.91
furniture_decor,6edacfd9f9074789dad6d62ba7950b9c,guarulhos,SP,117,117,10068.54,82.53,4.46
drinks,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,167,166,10035.42,55.75,4.28
bed_bath_table,972d0f9cf61b499a4812cf0bfa3ad3c4,brusque,SC,81,80,10011.15,116.41,3.01
telephony,99eaacc9e6046db1c82b163c5f84869f,franca,SP,43,43,10009.65,217.6,3.96
audio,4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,56,56,10005.43,178.67,4.04
garden_tools,d50d79cb34e38265a8649c383dcffd48,sao paulo,SP,46,46,9973.5,216.82,4.41
computers_accessories,8e8a7ce9f2f970dc00e2acf6f6e199f6,sao goncalo,RJ,63,63,9968.78,155.76,4.02
bed_bath_table,640e21a7d01df7614a3b4923e990d40c,ibitinga,SP,115,114,9960.55,73.24,4.29
sports_leisure,6d803cb79cc31c41c4c789a75933b3c7,sao joaquim da barra,SP,58,56,9925.07,150.38,4.28
perfumery,2dee2ce60de9709b1a24083217181a1f,sinop,MT,54,54,9844.56,178.99,4.36
luggage_accessories,6cd68b3ed6d59aaa9fece558ad360c0a,belo horizonte,MG,96,96,9829.66,97.32,4.53
health_beauty,e24fc9fcd865784fb25705606fe3dfe7,braganca paulista,SP,38,38,9793.36,251.11,4.18
housewares,febab0275244b9a49a623f0bd613ca2f,pedreira,SP,100,99,9781.93,81.52,4.33
electronics,2e90cb1677d35cfe24eef47d441b7c87,sao paulo,SP,81,81,9771.14,113.62,3.88
furniture_decor,6c7d50c24b3ccd2fd83b44d8bb34e073,presidente prudente,SP,94,94,9751.54,92.87,4.44
small_appliances,4e7c18b98d84e05cbae3ff0ff03846c2,jaboticabal,SP,69,69,9720.46,135.01,4.11
electronics,6039e27294dc75811c0d8a39069f52c0,osasco,SP,35,35,9711.39,249.01,3.92
sports_leisure,06df0c10d34e459d9672bc77388742eb,maringa,PR,26,26,9595.77,319.86,4.37
cool_stuff,cb8bcce248bb1fb274ba762d8b971456,santa rita do sapucai,MG,61,61,9555.11,156.64,4.33
musical_instruments,7178f9f4dd81dcef02f62acdf8151e01,videira,SC,19,19,9550.35,477.52,4.15
sports_leisure,7b07b3c7487f0ea825fc6df75abd658b,sao paulo,SP,87,87,9543.79,103.74,4.45
musical_instruments,6d66611d7c44cc30ce351abc49a68421,sao paulo,SP,95,95,9524.99,98.2,4.12
housewares,33a17d60c64393351ebf1ef860f4e0f2,porto alegre,RS,43,43,9431.86,200.68,4.62
toys,7b1222c3624aa89b9558b50a2594188c,sao jose do rio preto,SP,17,17,9412.02,553.65,4.65
health_beauty,b2ac621f0d0322434d04a12b078b9369,curitiba,PR,28,28,9406.21,335.94,4.39
health_beauty,ebd2d60905fb58271facef5596b620d3,lencois paulista,SP,82,82,9350.4,110.0,4.24
toys,5f2684dab12e59f83bef73ae57724e45,sao paulo,SP,62,62,9302.54,143.12,3.91
bed_bath_table,fdb9095204a334cd8872252ffec6f2db,sao paulo,SP,46,46,9289.37,152.28,4.14
computers_accessories,522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,42,42,9282.87,221.02,4.1
toys,a49928bcdf77c55c6d6e05e09a9b4ca5,sao paulo,SP,82,82,9266.41,102.96,2.91
construction_tools_safety,06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,26,26,9223.36,354.74,3.92
bed_bath_table,609e1a9a6c2539919b8205cf7c4e6ff0,brusque,SC,85,85,9217.97,72.02,3.67
health_beauty,db2956745b3a8e9f3785c99f34b5d25e,sao sebastiao,SP,45,45,9208.26,200.18,3.8
housewares,0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,85,85,9205.5,86.84,3.98
housewares,4bfc7a4a1cf8d4d2121c27422d9e50b5,sao paulo,SP,26,26,9191.59,229.79,4.22
cool_stuff,f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,11,11,9180.68,834.61,4.0
consoles_games,37515688008a7a40ac93e3b2e4ab203f,dracena,SP,226,226,9146.64,38.43,4.1
air_conditioning,7901646fdd36a55f564ffaf2dbccaaf7,rio de janeiro,RJ,11,10,9142.16,703.24,4.92
auto,b4ffb71f0cb1b1c3d63fad021ecf93e1,sao paulo,SP,143,141,9137.44,55.72,4.04
furniture_decor,270297ead4c65a6cd2593960d2af6b21,sao paulo,SP,11,10,9118.45,701.42,3.69
cool_stuff,05ff92fedb5be47920fea08e501238b9,santo angelo,RS,28,28,9065.17,302.17,4.0
toys,25e6ffe976bd75618accfe16cefcbd0d,sao paulo,SP,81,81,9031.07,107.51,4.38
furniture_decor,b92e3c8f9738272ff7c59e111e108d7c,uba,MG,54,54,9013.19,145.37,4.02
health_beauty,f3b80352b986ab4d1057a4b724be19d0,brasilia,DF,82,81,8963.46,103.03,4.14
cool_stuff,46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,24,24,8941.04,331.15,4.48
bed_bath_table,6fd52c528dcb38be2eea044946b811f8,sao paulo,SP,67,67,8881.58,105.73,3.54
toys,725c32fa80c2faacc4fc88450d27314e,sao paulo,SP,86,85,8850.55,98.34,4.54
sports_leisure,5b925e1d006e9476d738aa200751b73b,sao paulo,SP,63,58,8801.84,139.71,4.6
baby,aafe36600ce604f205b86b5084d3d767,sao jose,SC,102,102,8748.51,84.94,4.47
computers_accessories,af4a0e4cfe1d9c26b6712b1be25a72e5,mateus leme,MG,18,18,8716.73,378.99,3.3
sports_leisure,f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,74,74,8696.52,111.49,4.31
sports_leisure,669ae81880e08f269a64487cfb287169,rio do sul,SC,106,106,8656.37,70.38,4.2
health_beauty,bbf9ad41dca6603e614efcdad7aab8c4,fortaleza,CE,14,14,8622.26,615.88,4.5
health_beauty,e5a38146df062edaf55c38afa99e42dc,sao paulo,SP,41,41,8616.84,200.39,3.63
kitchen_dining_laundry_garden_furniture,b32be1695eb7ec5f10f72d9610a12527,caxias do sul,RS,20,20,8616.2,410.3,4.19
computers_accessories,3bb548e3cb7f70f28e3f11ee9dce0e59,maringa,PR,46,46,8586.81,162.02,3.98
baby,257e61d3251fb5efb9daadddbc2cf7ca,apucarana,PR,11,11,8567.6,778.87,4.73
toys,0432ead42b6c8a0bdf68154add917fdf,maua,SP,78,78,8510.94,102.54,4.59
housewares,fffd5413c0700ac820c7069d66d98c89,amparo,SP,45,45,8504.41,184.88,4.0
toys,86bb7c4b535e49a541baf3266b1c95b1,franca,SP,16,16,8487.22,530.45,3.31
consoles_games,16090f2ca825584b5a147ab24aa30c86,atibaia,SP,25,25,8426.82,337.07,4.2
housewares,b410bdd36d5db7a65dcd42b7ead933b8,goiania,GO,42,42,8319.71,198.09,4.81
baby,adbc26658d6c7b4b6219f9d934598091,curitiba,PR,56,56,8317.82,143.41,4.05
housewares,cc63f0dd2acba93ffed4fe9f8e0321fa,sao jose do rio preto,SP,54,53,8309.42,134.02,4.05
office_furniture,c26a2be5b53b7db6b276280da212a779,nova friburgo,RJ,13,13,8288.85,460.49,2.72
perfumery,058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,59,58,8273.05,133.44,4.42
baby,ad781527c93d00d89a11eecd9dcad7c1,sao jose do rio preto,SP,38,38,8213.12,216.13,3.34
housewares,0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,53,53,8198.78,130.14,3.98
sports_leisure,e7df4cd29ab5abab70fb0783ddb53987,sao paulo,SP,10,10,8193.64,744.88,4.27
health_beauty,dbdd0ec73a4817971d962698f2fea022,fortaleza,CE,16,16,8174.8,510.93,4.38
health_beauty,44073f8b7e41514de3b7815dd0237f4f,brasilia,DF,48,48,8167.65,170.16,4.08
health_beauty,2e1c9f22be269ef4643f826c9e650a52,sao paulo,SP,95,93,8166.45,83.33,4.17
bed_bath_table,8a432f4e5b471f8da497d7dc517666e2,presidente prudente,SP,77,77,8161.69,93.81,4.2
auto,34056b8b55c1775a22af2331670a799c,penapolis,SP,77,77,8150.21,105.85,4.04
health_beauty,b18dc380845b24038cfc48006478f099,diadema,SP,42,42,8144.45,173.29,4.38
garden_tools,1127b7f2594683f2510f1c2c834a486b,campinas,SP,103,103,8099.45,67.5,4.15
auto,5d0363b33554b373851fc1622e4d5f3c,atibaia,SP,88,88,8086.05,90.85,4.04
housewares,8e6cc767478edae941d9bd9eb778d77a,araguari,MG,99,96,8073.89,75.46,4.04
computers_accessories,06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,33,33,8066.49,237.25,4.09
sports_leisure,08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,58,56,8062.33,108.95,4.27
auto,6a8b085f816a1f75f92dbac6eb545f8f,bebedouro,SP,125,124,8038.22,60.44,4.18
costruction_tools_garden,d51e0a403fe2e689ece6c73359d96e12,pompeia,SP,18,18,8027.57,321.1,4.32
small_appliances,05ff92fedb5be47920fea08e501238b9,santo angelo,RS,17,17,8027.48,445.97,4.56
watches_gifts,67883baaae6134ee81b271a542613728,sao paulo,SP,18,18,8007.55,444.86,4.11
baby,7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,94,93,7997.08,79.97,4.1
sports_leisure,cd68562d3f44870c08922d380acae552,ribeirao preto,SP,42,42,7987.73,169.95,3.77
watches_gifts,381c83fdca332ea6afd896da20bf6e4a,curitiba,PR,43,43,7950.61,184.9,4.35
housewares,b347677812ea483b0f528eaf8cbc09b7,curitiba,PR,20,20,7929.94,396.5,4.5
pet_shop,fa1a9dec3a9940c072684a46728bf1fc,icara,SC,55,55,7875.71,131.26,4.0
auto,cee48807215b30a12ca2ca10ffb5f250,guaruja,SP,37,37,7870.66,207.12,3.66
sports_leisure,4aba391bc3b88717ce08eb11e44937b2,arraial d'ajuda (porto seguro),BA,26,26,7865.44,291.31,3.96
sports_leisure,a3a38f4affed601eb87a97788c949667,joinville,SC,59,57,7860.89,131.01,4.37
watches_gifts,93dc87703c046b603023e75222018b45,belo horizonte,MG,30,30,7859.38,261.98,4.13
computers_accessories,d03698c2efd04a549382afa6623e27fb,ilheus,BA,16,16,7856.04,413.48,4.53
computers_accessories,bd0389da23d89b726abf911cccc54596,brasilia,DF,76,76,7826.97,99.08,4.13
sports_leisure,6b243f80ed07b10f0e8aa0f21a205f3c,curitiba,PR,79,76,7807.4,87.72,4.02
luggage_accessories,f1fd5ab1181f827ffad998c1a5de7d74,curitiba,PR,14,14,7718.36,551.31,4.64
housewares,a2e874074c877c5a05abae80ad6e488f,sao jose do rio preto,SP,37,37,7670.8,196.69,4.18
electronics,c003204e1ab016dfa150abc119207b24,cajamar,SP,44,44,7649.92,159.37,4.0
garden_tools,73a63f72308aa20a46f4b1632018f196,curitiba,PR,22,22,7636.16,263.32,4.41
books_general_interest,669ae81880e08f269a64487cfb287169,rio do sul,SC,54,54,7633.43,133.92,4.16
sports_leisure,670c26e0f1bf8d0576271d5cfaec6d2b,maringa,PR,72,70,7626.92,95.34,4.38
computers_accessories,30829ded4523ab9224b93bc49a62c95f,parai,RS,18,18,7549.71,243.54,3.58
furniture_decor,09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,36,36,7518.73,183.38,3.78
telephony,6c177e38df6d3f34182b1f1d427231bf,curitiba,PR,44,44,7513.79,170.77,4.2
furniture_decor,4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,79,79,7513.4,90.52,3.8
furniture_decor,63b464dbf392c7b80d12d932fa7cafed,sao paulo,SP,36,36,7482.84,196.92,3.76
computers_accessories,3340ef1913fb70d28420f6ceb685c339,maringa,PR,32,31,7481.55,178.13,4.33
telephony,ade45994b717ccee333492330fbf037b,umuarama,PR,10,10,7479.63,747.96,4.5
health_beauty,679769a98cfcc6da877c8486ff1c13f3,ipatinga,MG,21,21,7467.39,355.59,4.57
home_appliances,0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,10,10,7427.88,742.79,4.2
toys,9d4db00d65d7760644ac0c14edb5fd86,sorocaba,SP,65,65,7422.34,112.46,4.53
sports_leisure,4371b634e0efc0e22b09b52907d9d469,sao paulo,SP,58,57,7421.42,114.18,4.18
health_beauty,516e7738bd8f735ac19a010ee5450d8d,rio de janeiro,RJ,66,66,7420.33,103.06,4.74
sports_leisure,9616352088dcf83a7c06637f4ebf1c80,umuarama,PR,91,91,7409.8,76.39,4.28
furniture_decor,2a261b5b644fa05f4f2700eb93544f2c,porto ferreira,SP,51,50,7396.73,90.2,3.35
health_beauty,f46490624488d3ff7ce78613913a7711,guarulhos,SP,80,80,7384.36,84.88,3.57
consoles_games,17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,27,27,7383.45,230.73,3.59
baby,9e6229250fedbe05838fef417b74e7fb,mirandopolis,SP,39,39,7374.16,179.86,3.61
computers_accessories,5b8154610ebb21fb90eb587365e673df,sao jose dos campos,SP,20,20,7359.25,334.51,3.91
housewares,aced59e9b31ef866a94f9e7f29d8d418,sao paulo,SP,52,51,7337.83,128.73,4.46
toys,4c03b9dd4c11ee2cb35c96c49efc9420,campo limpo paulista,SP,48,48,7302.33,152.13,4.13
fixed_telephony,fbc14c0cf93505ef89f64665ffa4a7b5,serrana,SP,11,11,7262.91,660.26,4.0
furniture_decor,bd4889b5e9133b35b66e42a8665cea5c,sao paulo,SP,36,36,7256.54,172.77,4.48
housewares,688756f717c462a206ad854c5027a64a,guarulhos,SP,73,73,7254.31,81.51,3.89
cool_stuff,e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,45,45,7246.46,157.53,3.8
auto,e5e33c0d8e7e002f398f5dc4cbbb338f,bauru,SP,26,26,7240.85,268.18,4.59
perfumery,5670f4db5b62c43d542e1b2d56b0cf7c,sao paulo,SP,22,22,7212.65,327.85,4.41
sports_leisure,066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,41,41,7189.17,163.39,3.95
books_general_interest,83e197e95a1bbabc8c75e883ed016c47,mage,RJ,44,44,7185.1,143.7,4.72
bed_bath_table,ea67327e24487bdfac5fbfa37ea124df,ibitinga,SP,32,31,7180.28,211.18,3.56
computers_accessories,4b5f66b7adcf57f1ecc0d3c07dd6b177,vendas@creditparts.com.br,PR,23,22,7115.96,187.26,4.11
health_beauty,40d54b51e962dbe09cabbcfd33298dee,santo andre,SP,24,24,7094.14,295.59,4.08
fashion_bags_accessories,e5a3438891c0bfdb9394643f95273d8e,limeira,SP,142,135,7052.52,44.36,3.77
computers_accessories,e8b3a3a38279a82f0e5d006d5e5b7d2c,jussara,PR,26,26,7044.03,251.57,4.11
luggage_accessories,b1a81260566c1bac3114a6d124413f27,carazinho,RS,32,30,7041.16,207.09,4.15
computers_accessories,f262cbc1c910c83959f849465454ddd3,sao paulo,SP,97,96,7014.78,68.77,4.45
sports_leisure,750303a20e9c56b2a6bc45cdce0b897d,goiania,GO,29,29,6985.25,225.33,4.45
computers_accessories,ed4acab38528488b65a9a9c603ff024a,sao paulo,SP,26,26,6982.33,211.59,3.7
auto,d624126b9206f595fb3fbb6ba03b28a8,curitiba,PR,22,22,6957.21,257.67,4.33
luggage_accessories,2a84855fd20af891be03bc5924d2b453,belo horizonte,MG,25,25,6956.22,267.55,4.58
baby,e8b4225284fbb02d16f200513f1f395d,novo horizonte,SP,30,30,6912.6,230.42,4.3
construction_tools_construction,8648b1e89e9b349e32d3741b30ec737e,jacarei,SP,74,73,6897.35,85.15,4.04
sports_leisure,50c9975695009e5e6473912e83a6d1da,claudio,MG,50,50,6883.95,101.23,4.0
stationery,dbc22125167c298ef99da25668e1011f,borda da mata,MG,82,82,6838.27,82.39,4.3
housewares,b6d44737c043328708f6749c2dbe50bd,santo andre,SP,61,59,6834.01,86.51,4.57
auto,3db66a856d18a9cba7c9241fc5221c50,ponte nova,MG,42,42,6787.59,157.85,4.07
home_construction,48162d548f5b1b11b9d29d1e01f75a61,piracicaba,SP,19,19,6778.58,242.09,3.07
telephony,70a12e78e608ac31179aea7f8422044b,jacarei,SP,67,67,6775.64,96.79,3.7
computers_accessories,080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,90,89,6774.62,72.07,4.54
musical_instruments,ce248b21cb2adc36282ede306b7660e5,jaragua do sul,SC,41,41,6772.9,161.26,4.26
bed_bath_table,17ca9b9e9b9ef8fdb529001b49ebb50f,betim,MG,75,75,6768.98,79.64,3.85
furniture_decor,3df020b72d3d44b3af9d110fa3940b65,jales,SP,55,53,6749.47,66.83,3.95
sports_leisure,02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,41,41,6734.22,164.25,4.59
auto,f12ff17ad8bbf01ec5c33b17e506649b,sao paulo,SP,28,28,6728.88,240.32,3.86
sports_leisure,989becdce12ebc39863c2bceab6f3ca1,curitiba,PR,11,11,6700.34,609.12,4.73
health_beauty,57e632711dec9ec14ca7546769483e7e,navegantes,SC,55,55,6683.28,119.34,4.38
construction_tools_construction,e0a366315b1b726b6c7832d664c0f530,sao paulo,SP,36,35,6670.26,155.12,4.47
bed_bath_table,b2479f944e1b90cf8a5de1bbfde284d6,ibitinga,SP,99,97,6603.93,53.26,3.3
sports_leisure,dbc22125167c298ef99da25668e1011f,borda da mata,MG,45,44,6592.68,124.39,3.96
books_technical,ba143b05f0110f0dc71ad71b4466ce92,sao paulo,SP,76,75,6588.78,85.57,4.47
health_beauty,f84a00e60c73a49e7e851c9bdca3a5bb,rio de janeiro,RJ,79,79,6584.34,74.82,3.74
housewares,4830e40640734fc1c52cd21127c341d4,sao paulo,SP,113,113,6570.3,55.68,4.19
sports_leisure,5b67882648febfb6e1225e6ad7164f6b,umuarama,PR,25,25,6569.69,234.63,3.96
housewares,7722b1df1b0e383e000397b2c11e3e19,sao bernardo do campo,SP,91,90,6535.77,64.08,4.17
housewares,98dac6635aee4995d501a3972e047414,sao paulo,SP,89,89,6495.35,34.19,3.9
garden_tools,dfc5fb7259bb2b599ca565e6e9448f0f,sao bernardo do campo,SP,30,30,6477.56,208.95,4.06
garden_tools,ff063b022a9a0aab91bad2c9088760b7,santo andre,SP,44,44,6472.06,143.82,4.4
telephony,6f892e20a171e98efe17fdb971ff319b,sao paulo,SP,38,38,6471.49,137.69,3.89
furniture_decor,b14db04aa7881970e83ffa9426897925,sorocaba,SP,68,68,6442.66,70.8,3.85
furniture_decor,02d35243ea2e497335cd0f076b45675d,natal,RN,14,14,6399.95,400.0,2.69
food,cbd996ad3c1b7dc71fd0e5f5df9087e2,sao jose do rio preto,SP,85,85,6355.45,66.2,4.36
sports_leisure,751bdc4d83a466c7206cd42e8f426b03,ribeirao pires,SP,38,38,6315.89,128.9,3.55
air_conditioning,6a51fc556dab5f766ced6fbc860bc613,marilia,SP,18,18,6306.47,252.26,4.32
housewares,91f848e9f4be368f4318775aac733370,sao paulo,SP,49,49,6305.2,106.87,4.39
bed_bath_table,17306570e772e7718c92a562d33f5f1d,bariri,SP,21,21,6302.28,262.59,3.63
furniture_decor,0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,34,34,6302.06,110.56,3.79
perfumery,26d8a1c7c75d513045798992ead43aa2,apucarana,PR,31,31,6279.85,196.25,4.31
musical_instruments,83deb69e889cf80f82be1dc6d5f2d486,florianopolis,SC,40,40,6276.65,149.44,4.36
bed_bath_table,2528513dd95219a6013d4d05176e391a,osasco,SP,63,63,6256.57,93.38,4.03
telephony,7d76b645482be4a332374e8223836592,sao paulo,SP,169,169,6197.66,34.43,3.98
sports_leisure,2e1c9f22be269ef4643f826c9e650a52,sao paulo,SP,64,64,6159.39,91.93,4.39
perfumery,afe0067131b73e40875c9b6c10bd2e21,lagoa da prata,MG,45,45,6151.59,136.7,4.29
auto,04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,10,10,6132.49,383.28,3.5
watches_gifts,522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,21,21,6129.48,291.88,4.43
health_beauty,abcd2cb37d46c2c8fb1bf071c859fc5b,cuiaba,MT,44,44,6121.84,120.04,4.31
furniture_bedroom,3ade81dab5a172b88e1871c28ae05260,sao jose do rio preto,SP,25,25,6106.65,226.17,4.19
bed_bath_table,b39d7fe263ef469605dbb32608aee0af,ibitinga,SP,43,43,6100.23,127.09,3.81
pet_shop,a5cba26a62b8b4d0145b68b841e62e7f,campo mourao,PR,12,12,6094.96,507.91,4.67
housewares,0bae85eb84b9fb3bd773911e89288d54,itajai,SP,76,76,6078.1,78.94,4.13
pet_shop,e067ad2c1c0b48758eb1b5228bcf7a68,santos,SP,54,54,6047.91,99.15,4.13
auto,817245bcc3badd82bbd222e0366951a6,bauru,SP,28,28,6044.83,137.38,4.23
cool_stuff,855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,28,28,6016.79,214.89,3.96
furniture_decor,903037660cf848a717166eb7a06d616e,sao paulo,SP,20,20,5981.16,199.37,3.43
sports_leisure,0691148aee60ca47977c187804f935ae,londrina,PR,35,35,5938.69,148.47,3.84
small_appliances,cc3d14116804f7209f3884f6367f1152,curitiba,PR,25,25,5927.53,219.54,4.63
cool_stuff,955fee9216a65b617aa5c0531780ce60,sao paulo,SP,115,115,5920.74,51.48,4.36
bed_bath_table,0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,37,37,5915.27,155.67,4.05
audio,b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,10,10,5894.2,589.42,3.9
furniture_decor,23613d49c3ac2bd302259e55c06c050c,porto ferreira,SP,64,63,5879.98,79.46,3.73
sports_leisure,aaed1309374718fdd995ee4c58c9dfcd,timbo,SC,58,58,5865.29,96.15,4.2
auto,05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,46,45,5847.29,116.95,3.98
cool_stuff,dd55f1bb788714a40e7954c3be6df745,sao paulo,SP,19,19,5846.69,307.72,3.63
home_construction,09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,14,14,5827.73,388.52,4.13
health_beauty,ececbfcff9804a2d6b40f589df8eef2b,franca,SP,65,64,5827.15,84.45,4.06
computers_accessories,2eb70248d66e0e3ef83659f71b244378,campinas,SP,57,57,5817.91,92.35,2.49
furniture_decor,30a2f535bb48308f991d0b9ad4a8c4bb,santa barbara d'oeste,SP,71,71,5815.36,66.84,4.25
health_beauty,916c9de0b5ad957346eeeb12f332687e,curitiba,PR,22,22,5814.27,215.34,4.37
stationery,2c9e548be18521d1c43cde1c582c6de8,mogi das cruzes,SP,96,95,5799.54,43.94,3.82
perfumery,3c7c4a49ec3c6550809089c6a2ca9370,sao paulo,SP,139,138,5799.21,36.7,3.73
luggage_accessories,bfd27a966d91cfaafdb25d076585f0da,serra negra,SP,21,21,5782.6,275.36,4.19
tablets_printing_image,0db783cfcd3b73998abc6e10e59a102f,santos,SP,50,50,5777.66,109.01,4.3
furniture_decor,8a32e327fe2c1b3511609d81aaf9f042,sao paulo,SP,95,93,5763.07,42.07,3.94
furniture_living_room,8b9d6eec4a7eb7d0f9d579ce0b38324d,mesquita,RJ,47,46,5738.79,112.53,4.1
housewares,3be634553519fb6536a03e1358e9fdc7,sao paulo,SP,54,54,5736.44,85.62,3.94
construction_tools_construction,1a932caad4f9d804097d7f8e615baed1,sao paulo,SP,20,20,5701.45,190.05,3.57
stationery,2a84855fd20af891be03bc5924d2b453,belo horizonte,MG,62,62,5658.29,89.81,4.4
pet_shop,f789d2c4f2c2eb38fc4373e7a4b35264,juiz de fora,MG,43,42,5644.07,117.58,4.19
health_beauty,fad44952713764836814be105382aee5,rio de janeiro,RJ,32,32,5636.88,176.15,4.28
sports_leisure,e2aee0892199b1d92530e371abd825bf,rolandia,PR,25,25,5629.99,216.54,4.04
cool_stuff,2e90cb1677d35cfe24eef47d441b7c87,sao paulo,SP,32,30,5564.07,163.65,4.21
bed_bath_table,7d456afc660226829370f3173d14520c,mogi das cruzes,SP,28,28,5529.23,131.65,4.14
housewares,06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,58,56,5515.42,82.32,3.81
